input	chunk	run	mode	bytes	alph_size	table_bits	payload_bits	total_bits	total_bytes	arith_bytes	ratio	encode_us	decode_us	ok
z.zst	0	2	tans-tok	1048576	1280	40984	8680293	8754160	1094270	1056356	1.035891	29460	13179	1
z.zst	0	0	arith-tok	1048576	0	0	8417968	8450848	1056356	1056356	1.000000	24467	60877	1
z.zst	0	1	arith-tok	1048576	0	0	8417968	8450848	1056356	1056356	1.000000	22827	60661	1
z.zst	0	2	arith-tok	1048576	0	0	8417968	8450848	1056356	1056356	1.000000	23357	60171	1
z.zst	0	0	tans-recut	1048582	256	8216	8388631	8396912	1049614	1048582	1.000984	29514	12734	1
z.zst	0	1	tans-recut	1048582	256	8216	8388631	8396912	1049614	1048582	1.000984	28559	13155	1
z.zst	0	2	tans-recut	1048582	256	8216	8388631	8396912	1049614	1048582	1.000984	28669	13173	1
z.zst	1	0	tans-lit	37	31	1016	192	1320	165	55	3.000000	220	204	1
z.zst	1	1	tans-lit	37	31	1016	192	1320	165	55	3.000000	209	202	1
z.zst	1	2	tans-lit	37	31	1016	192	1320	165	55	3.000000	205	201	1
z.zst	1	0	arith-lit	37	0	0	328	440	55	55	1.000000	6	5	1
z.zst	1	1	arith-lit	37	0	0	328	440	55	55	1.000000	3	4	1
z.zst	1	2	arith-lit	37	0	0	328	440	55	55	1.000000	3	4	1
z.zst	1	0	tans-tok	37	31	1016	192	1320	165	55	3.000000	209	202	1
z.zst	1	1	tans-tok	37	31	1016	192	1320	165	55	3.000000	204	200	1
z.zst	1	2	tans-tok	37	31	1016	192	1320	165	55	3.000000	206	200	1
z.zst	1	0	arith-tok	37	0	0	328	440	55	55	1.000000	4	5	1
z.zst	1	1	arith-tok	37	0	0	328	440	55	55	1.000000	3	4	1
z.zst	1	2	arith-tok	37	0	0	328	440	55	55	1.000000	3	4	1
z.zst	1	0	tans-recut	43	34	1112	225	1408	176	43	4.093023	220	215	1
z.zst	1	1	tans-recut	43	34	1112	225	1408	176	43	4.093023	210	204	1
z.zst	1	2	tans-recut	43	34	1112	225	1408	176	43	4.093023	211	203	1
